,index,Year,Name,CategoryName,SubCategoryName,ServicesIndex,AppliestoAllIndex,ResidentIndex,PaymentOutwardsIndex,ExchangeRateMeasuresIndex,NonResidentIndex,PaymentInwardsIndex,FinancialSectorIndex,CapitalAccountIndex,TradeInwardsIndex,TradeOutwardsIndex,GoodsIndex,ddExchangeRateMeasures,ddServices,ddGoods,ddFinancialSector,ddCapitalAccount,ddAppliestoAll,ddResident,ddNonResident,ddPaymentInwards,ddPaymentOutwards,ddTradeInwards,ddTradeOutwards,TotWeight,TotalIndex,ECLI
12,12,2010,Angola,EXPORTS AND EXPORT PROCEEDS,OTHER EXPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.3,12.5
13,13,2010,Angola,EXPORTS AND EXPORT PROCEEDS,REPATRIATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.64,0.0,0.0,0.0,64.64,0.0,64.64,0.0,0.0,0.0,193.92000000000002,6.0,3.0940594059405937
14,14,2010,Angola,GOLD (COINS AND/OR BULLION),GOLD (COINS AND/OR BULLION),0.0,0.0,1.32,0.0,0.0,0.0,2.92,0.0,0.0,0.0,1.32,1.32,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,28.240000000000002,0.0,0.0,24.0,100.24000000000001,6.880000000000001,6.863527533918595
15,15,2010,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,DOCUMENTATION REQUIREMENTS,0.0,0.0,3.48,3.48,0.0,0.0,2.37,0.0,0.0,0.0,0.0,3.48,0.0,0.0,20.48,0.0,0.0,0.0,20.48,0.0,17.36,20.48,0.0,0.0,78.8,12.81,16.256345177664976
16,16,2010,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.48,0.0,0.0,0.0,56.48,6.97,12.340651558073654
17,17,2010,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,IMPORT LICENSING REQUIREMENTS,0.0,0.0,2.96,0.0,0.0,0.0,0.74,0.0,0.0,2.96,0.0,2.96,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,8.08,0.0,32.32,0.0,105.03999999999999,9.620000000000001,9.15841584158416
18,18,2010,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,OTHER IMPORTS,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.5,0.0,3.76,3.76,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,23.919999999999998,2.7,11.287625418060204
19,19,2010,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,CURRENT TRANSFERS,7.4,0.0,7.4,0.0,0.0,0.0,2.48,0.0,0.0,0.0,7.4,2.48,0.0,20.32,20.32,0.0,0.0,0.0,60.8,0.0,20.32,0.0,0.0,60.8,182.56,27.16,14.877300613496933
20,20,2010,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,INCOME,10.0,0.0,11.0,11.0,0.0,0.0,2.75,0.0,1.0,0.0,0.0,2.75,0.0,20.0,22.0,0.0,8.0,0.0,88.0,0.0,22.0,88.0,0.0,0.0,248.0,38.5,15.524193548387096
21,21,2010,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,OTHER SERVICES,1.0,0.0,1.0,1.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,2.52,0.0,20.16,20.16,0.0,0.0,0.0,8.0,0.0,20.16,8.0,0.0,0.0,76.48,8.04,10.51255230125523
22,22,2010,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,TRAVEL,11.15,2.3,13.5,7.45,0.0,1.15,10.57,0.0,0.0,0.0,2.3,10.83,0.0,56.72,75.28,0.0,0.0,8.0,98.39999999999999,4.0,73.28,60.8,0.0,8.0,384.47999999999996,59.24999999999999,15.410424469413234
23,23,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,BANKING SUPERVISION REQUIREMENTS (PRUDENTIAL MEASU,0.0,2.59,2.59,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,2.37,0.0,0.0,16.16,0.0,0.0,21.28,21.28,0.0,21.28,0.0,0.0,0.0,80.0,10.14,12.675
24,24,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,CAPITAL TRANSACTIONS,3.0,0.0,7.6899999999999995,14.879999999999999,0.0,9.92,4.96,0.0,11.879999999999999,0.0,0.0,5.95,0.0,8.0,48.4,0.0,96.96000000000001,0.0,62.48,80.64,40.32,120.96000000000001,0.0,0.0,457.76,58.28,12.731562390772458
25,25,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,COMMERCIAL BANKS AND OTHER CREDIT INSTITUTIONS,0.0,0.0,16.56,3.3200000000000003,0.0,0.0,14.07,16.56,0.0,0.0,0.0,4.97,0.0,0.0,28.48,90.88000000000001,0.0,0.0,90.88000000000001,0.0,73.60000000000001,23.04,0.0,0.0,306.88000000000005,55.480000000000004,18.078727841501564
26,26,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL INWARD,0.0,4.0,6.48,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.97,0.0,0.0,39.28,0.0,0.0,32.64,51.6,0.0,36.72,0.0,0.0,0.0,160.24,19.95,12.450074887668496
27,27,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OTHER,0.0,0.0,3.96,0.0,0.0,0.0,7.43,0.0,3.96,0.0,0.0,6.95,0.0,40.72,56.88,0.0,32.32,0.0,32.32,0.0,60.72,0.0,0.0,0.0,222.95999999999998,22.3,10.00179404377467
28,28,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OUTWARD,3.2,5.96,44.34,42.36,0.0,9.92,25.39,0.0,33.2,0.0,0.0,28.37,0.0,14.8,236.56,0.0,291.04,48.64,382.72,80.96000000000001,212.24,366.56,0.0,0.0,1633.52,192.74,11.799059699299672
29,29,2011,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,INSTITUTIONAL INVESTORS (PENSION FUNDS AND INSURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.120000000000001,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,12.16,2.0,16.447368421052634
30,30,2011,Angola,EXCHANGE RATE MEASURES AND ARRANGEMENTS,EXCHANGE RATE REGIME,0.0,0.0,0.06,0.0,0.24,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.0,1.92,0.42,21.875
31,31,2011,Angola,EXPORTS AND EXPORT PROCEEDS,DOCUMENTATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.32,0.0,0.0,0.0,16.32,0.0,16.32,0.0,0.0,0.0,48.96,6.0,12.254901960784313
32,32,2011,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT LICENSING REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,32.32,0.0,0.0,0.0,96.96000000000001,6.0,6.188118811881187
33,33,2011,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT TAXES ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,34,2011,Angola,EXPORTS AND EXPORT PROCEEDS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,35,2011,Angola,EXPORTS AND EXPORT PROCEEDS,OTHER EXPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.3,12.5
36,36,2011,Angola,EXPORTS AND EXPORT PROCEEDS,REPATRIATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.64,0.0,0.0,0.0,64.64,0.0,64.64,0.0,0.0,0.0,193.92000000000002,6.0,3.0940594059405937
37,37,2011,Angola,GOLD (COINS AND/OR BULLION),GOLD (COINS AND/OR BULLION),0.0,0.0,1.32,0.0,0.0,0.0,2.92,0.0,0.0,0.0,1.32,1.32,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,28.240000000000002,0.0,0.0,24.0,100.24000000000001,6.880000000000001,6.863527533918595
38,38,2011,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,DOCUMENTATION REQUIREMENTS,0.0,0.0,3.48,3.48,0.0,0.0,2.37,0.0,0.0,0.0,0.0,3.48,0.0,0.0,20.48,0.0,0.0,0.0,20.48,0.0,17.36,20.48,0.0,0.0,78.8,12.81,16.256345177664976
39,39,2011,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,6.970000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.480000000000004,0.0,0.0,0.0,56.480000000000004,6.970000000000001,12.340651558073654
40,40,2011,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,IMPORT LICENSING REQUIREMENTS,0.0,0.0,2.96,0.0,0.0,0.0,0.74,0.0,0.0,2.96,0.0,2.96,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,8.08,0.0,32.32,0.0,105.03999999999999,9.620000000000001,9.15841584158416
41,41,2011,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,OTHER IMPORTS,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.5,0.0,3.76,3.76,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,23.919999999999998,2.7,11.287625418060204
42,42,2011,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,CURRENT TRANSFERS,7.4,0.0,7.4,0.0,0.0,0.0,2.48,0.0,0.0,0.0,7.4,2.48,0.0,20.32,20.32,0.0,0.0,0.0,60.8,0.0,20.32,0.0,0.0,60.8,182.56,27.16,14.877300613496933
43,43,2011,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,INCOME,10.0,0.0,11.0,11.0,0.0,0.0,2.75,0.0,1.0,0.0,0.0,2.75,0.0,20.0,22.0,0.0,8.0,0.0,88.0,0.0,22.0,88.0,0.0,0.0,248.0,38.5,15.524193548387096
44,44,2011,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,OTHER SERVICES,1.0,0.0,1.0,1.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,2.52,0.0,20.16,20.16,0.0,0.0,0.0,8.0,0.0,20.16,8.0,0.0,0.0,76.48,8.04,10.51255230125523
45,45,2011,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,TRAVEL,11.15,2.3,13.5,7.45,0.0,1.15,10.57,0.0,0.0,0.0,2.3,10.83,0.0,56.72,75.28,0.0,0.0,8.0,98.39999999999999,4.0,73.28,60.8,0.0,8.0,384.47999999999996,59.24999999999999,15.410424469413234
46,46,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,BANKING SUPERVISION REQUIREMENTS (PRUDENTIAL MEASU,0.0,2.59,2.59,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,2.37,0.0,0.0,16.16,0.0,0.0,21.28,21.28,0.0,21.28,0.0,0.0,0.0,80.0,10.14,12.675
47,47,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,CAPITAL TRANSACTIONS,3.0,0.0,7.6899999999999995,14.879999999999999,0.0,9.92,4.96,0.0,11.879999999999999,0.0,0.0,5.95,0.0,8.0,48.4,0.0,96.96000000000001,0.0,62.48,80.64,40.32,120.96000000000001,0.0,0.0,457.76,58.28,12.731562390772458
48,48,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,COMMERCIAL BANKS AND OTHER CREDIT INSTITUTIONS,0.0,0.0,16.56,3.3200000000000003,0.0,0.0,14.07,16.56,0.0,0.0,0.0,4.97,0.0,0.0,28.48,90.88,0.0,0.0,90.88,0.0,73.6,23.04,0.0,0.0,306.88000000000005,55.480000000000004,18.078727841501564
49,49,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL INWARD,0.0,4.0,6.48,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.97,0.0,0.0,39.28,0.0,0.0,32.64,51.6,0.0,36.72,0.0,0.0,0.0,160.24,19.95,12.450074887668496
50,50,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OTHER,0.0,0.0,3.96,0.0,0.0,0.0,7.43,0.0,3.96,0.0,0.0,6.95,0.0,40.72,56.88,0.0,32.32,0.0,32.32,0.0,60.72,0.0,0.0,0.0,222.95999999999998,22.3,10.00179404377467
51,51,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OUTWARD,3.2,5.96,44.34,42.36,0.0,9.92,25.39,0.0,33.2,0.0,0.0,28.37,0.0,14.8,236.56,0.0,291.04,48.64,382.72,80.96000000000001,212.24,366.56,0.0,0.0,1633.52,192.74,11.799059699299672
52,52,2012,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,INSTITUTIONAL INVESTORS (PENSION FUNDS AND INSURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.120000000000001,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,12.16,2.0,16.447368421052634
53,53,2012,Angola,EXCHANGE RATE MEASURES AND ARRANGEMENTS,EXCHANGE RATE REGIME,0.0,0.0,0.06,0.0,0.24,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.0,1.92,0.42,21.875
54,54,2012,Angola,EXPORTS AND EXPORT PROCEEDS,DOCUMENTATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.32,0.0,0.0,0.0,16.32,0.0,16.32,0.0,0.0,0.0,48.96,6.0,12.254901960784313
55,55,2012,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT LICENSING REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,32.32,0.0,0.0,0.0,96.96000000000001,6.0,6.188118811881187
56,56,2012,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT TAXES ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,57,2012,Angola,EXPORTS AND EXPORT PROCEEDS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,58,2012,Angola,EXPORTS AND EXPORT PROCEEDS,OTHER EXPORTS,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,0.3,12.5
59,59,2012,Angola,EXPORTS AND EXPORT PROCEEDS,REPATRIATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.64,0.0,0.0,0.0,64.64,0.0,64.64,0.0,0.0,0.0,193.92000000000002,6.0,3.0940594059405937
60,60,2012,Angola,GOLD (COINS AND/OR BULLION),GOLD (COINS AND/OR BULLION),0.0,0.0,1.32,0.0,0.0,0.0,2.92,0.0,0.0,0.0,1.32,1.32,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,28.240000000000002,0.0,0.0,24.0,100.24000000000001,6.880000000000001,6.863527533918595
61,61,2012,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,DOCUMENTATION REQUIREMENTS,0.0,0.0,3.48,3.48,0.0,0.0,2.37,0.0,0.0,0.0,0.0,3.48,0.0,0.0,20.48,0.0,0.0,0.0,20.48,0.0,17.36,20.48,0.0,0.0,78.8,12.81,16.256345177664976
62,62,2012,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.48,0.0,0.0,0.0,56.48,6.97,12.340651558073654
63,63,2012,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,IMPORT LICENSING REQUIREMENTS,0.0,0.0,2.96,0.0,0.0,0.0,0.74,0.0,0.0,2.96,0.0,2.96,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,8.08,0.0,32.32,0.0,105.03999999999999,9.620000000000001,9.15841584158416
64,64,2012,Angola,IMPORTS AND PAYMENT ARRANGEMENTS,OTHER IMPORTS,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.5,0.0,3.7600000000000002,3.7600000000000002,0.0,0.0,0.0,0.0,0.0,16.400000000000002,0.0,0.0,0.0,23.92,2.7,11.2876254180602
65,65,2012,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,CURRENT TRANSFERS,7.4,0.0,7.4,0.0,0.0,0.0,2.48,0.0,0.0,0.0,7.4,2.48,0.0,20.32,20.32,0.0,0.0,0.0,60.8,0.0,20.32,0.0,0.0,60.8,182.56,27.16,14.877300613496933
66,66,2012,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,INCOME,10.0,0.0,11.0,11.0,0.0,0.0,2.75,0.0,1.0,0.0,0.0,2.75,0.0,20.0,22.0,0.0,8.0,0.0,88.0,0.0,22.0,88.0,0.0,0.0,248.0,38.5,15.524193548387096
67,67,2012,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,OTHER SERVICES,1.0,0.0,1.0,1.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,2.52,0.0,20.16,20.16,0.0,0.0,0.0,8.0,0.0,20.16,8.0,0.0,0.0,76.48,8.04,10.51255230125523
68,68,2012,Angola,INVISIBLE TRANSACTIONS AND CURRENT TRANSFERS (PAYM,TRAVEL,11.15,2.3,13.5,7.45,0.0,1.15,10.57,0.0,0.0,0.0,2.3,10.83,0.0,56.72,75.28,0.0,0.0,8.0,98.39999999999999,4.0,73.28,60.8,0.0,8.0,384.47999999999996,59.24999999999999,15.410424469413234
69,69,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,BANKING SUPERVISION REQUIREMENTS (PRUDENTIAL MEASU,0.0,2.59,2.59,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,2.37,0.0,0.0,16.16,0.0,0.0,21.28,21.28,0.0,21.28,0.0,0.0,0.0,80.0,10.14,12.675
70,70,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,CAPITAL TRANSACTIONS,3.0,0.0,7.69,14.879999999999999,0.0,9.92,4.96,0.0,11.879999999999999,0.0,0.0,5.95,0.0,8.0,48.4,0.0,96.96000000000001,0.0,62.48,80.64,40.32,120.96000000000001,0.0,0.0,457.76,58.28,12.731562390772458
71,71,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,COMMERCIAL BANKS AND OTHER CREDIT INSTITUTIONS,0.0,0.0,16.560000000000002,3.3200000000000003,0.0,0.0,14.07,16.560000000000002,0.0,0.0,0.0,4.97,0.0,0.0,28.48,90.88,0.0,0.0,90.88,0.0,73.60000000000001,23.04,0.0,0.0,306.88000000000005,55.480000000000004,18.078727841501564
72,72,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL INWARD,0.0,4.0,6.48,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.97,0.0,0.0,39.28,0.0,0.0,32.64,51.6,0.0,36.72,0.0,0.0,0.0,160.24,19.95,12.450074887668496
73,73,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OTHER,0.0,0.0,3.96,0.0,0.0,0.0,7.43,0.0,3.96,0.0,0.0,6.95,0.0,40.72,56.88,0.0,32.32,0.0,32.32,0.0,60.72,0.0,0.0,0.0,222.95999999999998,22.3,10.00179404377467
74,74,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OUTWARD,3.2,5.96,44.34,42.36,0.0,9.92,25.39,0.0,33.2,0.0,0.0,28.37,0.0,14.8,236.56,0.0,291.04,48.64,382.72,80.96000000000001,212.24,366.56,0.0,0.0,1633.52,192.74,11.799059699299672
75,75,2013,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,INSTITUTIONAL INVESTORS (PENSION FUNDS AND INSURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.120000000000001,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,12.16,2.0,16.447368421052634
76,76,2013,Angola,EXCHANGE RATE MEASURES AND ARRANGEMENTS,EXCHANGE RATE REGIME,0.0,0.0,0.06,0.0,0.24,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.0,1.92,0.42,21.875
77,77,2013,Angola,EXPORTS AND EXPORT PROCEEDS,DOCUMENTATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.32,0.0,0.0,0.0,16.32,0.0,16.32,0.0,0.0,0.0,48.96,6.0,12.254901960784313
